2022-09-15 10:09:21.592 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.max required for local execution is not set, setting it to its default value 64 mb.
2022-09-15 10:09:21.592 [main] INFO  o.a.f.r.taskexecutor.TaskExecutorResourceUtils - The configuration option taskmanager.memory.managed.size required for local execution is not set, setting it to its default value 128 mb.
2022-09-15 10:09:21.596 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting Flink Mini Cluster
2022-09-15 10:09:21.977 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting Metrics Registry
2022-09-15 10:09:22.011 [main] INFO  o.apache.flink.runtime.metrics.MetricRegistryImpl - No metrics reporter configured, no metrics will be exposed/reported.
2022-09-15 10:09:22.012 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting RPC Service(s)
2022-09-15 10:09:22.022 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
2022-09-15 10:09:22.520 [flink-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2022-09-15 10:09:22.601 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink
2022-09-15 10:09:22.614 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
2022-09-15 10:09:22.624 [flink-metrics-7] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2022-09-15 10:09:22.631 [main] INFO  o.a.flink.runtime.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink-metrics
2022-09-15 10:09:22.641 [main] INFO  org.apache.flink.runtime.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.metrics.dump.MetricQueryService at akka://flink-metrics/user/rpc/MetricQueryService .
2022-09-15 10:09:22.690 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting high-availability services
2022-09-15 10:09:22.703 [main] INFO  org.apache.flink.runtime.blob.BlobServer - Created BLOB server storage directory C:\Users\22935\AppData\Local\Temp\blobStore-6dc98b9b-b9b0-44a9-b11a-072ab5c65a70
2022-09-15 10:09:22.707 [main] INFO  org.apache.flink.runtime.blob.BlobServer - Started BLOB server at 0.0.0.0:64897 - max concurrent requests: 50 - max backlog: 1000
2022-09-15 10:09:22.715 [main] INFO  org.apache.flink.runtime.blob.PermanentBlobCache - Created BLOB cache storage directory C:\Users\22935\AppData\Local\Temp\blobStore-4f076515-118f-4145-a58a-25a04258cf42
2022-09-15 10:09:22.716 [main] INFO  org.apache.flink.runtime.blob.TransientBlobCache - Created BLOB cache storage directory C:\Users\22935\AppData\Local\Temp\blobStore-82843358-51cb-4eec-a081-8745ff5f5843
2022-09-15 10:09:22.716 [main] INFO  org.apache.flink.runtime.minicluster.MiniCluster - Starting 1 TaskManager(s)
2022-09-15 10:09:22.721 [main] INFO  o.a.flink.runtime.taskexecutor.TaskManagerRunner - Starting TaskManager with ResourceID: 2bfd97e6-1b06-4648-abaf-9712b0055bac
2022-09-15 10:09:22.737 [main] INFO  o.a.flink.runtime.taskexecutor.TaskManagerServices - Temporary file directory 'C:\Users\22935\AppData\Local\Temp': total 153 GB, usable 65 GB (42.48% usable)
2022-09-15 10:09:22.742 [main] INFO  o.apache.flink.runtime.io.disk.iomanager.IOManager - Created a new FileChannelManager for spilling of task related data to disk (joins, sorting, ...). Used directories:
	C:\Users\22935\AppData\Local\Temp\flink-io-5ef89002-1555-40b8-8dd2-9b4bccebaaf3
2022-09-15 10:09:22.755 [main] INFO  o.a.f.r.io.network.NettyShuffleServiceFactory - Created a new FileChannelManager for storing result partitions of BLOCKING shuffles. Used directories:
	C:\Users\22935\AppData\Local\Temp\flink-netty-shuffle-eb2acc95-10f2-4aff-bede-cd68894da61e
2022-09-15 10:09:22.786 [main] INFO  o.a.f.runtime.io.network.buffer.NetworkBufferPool - Allocated 64 MB for network buffer pool (number of memory segments: 2048, bytes per segment: 32768).
2022-09-15 10:09:22.799 [main] INFO  o.a.f.runtime.io.network.NettyShuffleEnvironment - Starting the network environment and its components.
