2022-09-03 19:00:09.743 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-03 19:00:10.931 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-03 19:00:11.135 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-09-03 19:00:11.149 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-09-03 19:00:11.154 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP dandelion-web 192.168.91.1:8080 register finished
2022-09-03 19:00:12.231 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-03 19:00:12.238 [main] INFO  net.syl.dandelion.web.WebApplication - Started WebApplication in 9.865 seconds (JVM running for 10.504)
2022-09-03 19:00:12.241 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web, group=WEB
2022-09-03 19:00:12.243 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web-dev.yaml, group=WEB
2022-09-03 19:00:12.243 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=dandelion-web.yaml, group=WEB
2022-09-03 19:00:22.007 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-03 19:00:23.021 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-03 19:00:23.022 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-09-03 19:13:49.622 [com.alibaba.nacos.client.Worker.longPolling.fixed-192.168.91.129_8848-9aa836dd-c632-4bbb-a813-b6c5d464166f] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-09-03 19:13:50.678 [com.alibaba.nacos.client.Worker.longPolling.fixed-192.168.91.129_8848-9aa836dd-c632-4bbb-a813-b6c5d464166f] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-null-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-null.yaml,WEB'}]
2022-09-03 19:13:50.679 [com.alibaba.nacos.client.Worker.longPolling.fixed-192.168.91.129_8848-9aa836dd-c632-4bbb-a813-b6c5d464166f] INFO  org.springframework.boot.SpringApplication - The following 1 profile is active: "dev"
2022-09-03 19:13:50.686 [com.alibaba.nacos.client.Worker.longPolling.fixed-192.168.91.129_8848-9aa836dd-c632-4bbb-a813-b6c5d464166f] INFO  org.springframework.boot.SpringApplication - Started application in 2.149 seconds (JVM running for 828.952)
2022-09-03 19:13:50.727 [com.alibaba.nacos.client.Worker.longPolling.fixed-192.168.91.129_8848-9aa836dd-c632-4bbb-a813-b6c5d464166f] INFO  o.s.cloud.endpoint.event.RefreshEventListener - Refresh keys changed: []
2022-09-03 19:14:01.747 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2022-09-03 19:14:01.752 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2022-09-03 19:14:02.223 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-03 19:14:02.225 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-03 19:14:02.239 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2022-09-03 19:14:02.381 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=6821c3f4-6181-3651-bc22-304c8fdf8f52
2022-09-03 19:14:02.732 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-09-03 19:14:02.739 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-09-03 19:14:02.740 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-03 19:14:02.740 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2022-09-03 19:14:02.845 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-03 19:14:02.845 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1080 ms
2022-09-03 19:14:02.915 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-09-03 19:14:02.928 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2022-09-03 21:51:00.886 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2022-09-03 21:51:00.889 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2022-09-03 21:51:01.340 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-03 21:51:01.342 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-03 21:51:01.359 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2022-09-03 21:51:01.514 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=6821c3f4-6181-3651-bc22-304c8fdf8f52
2022-09-03 21:51:01.935 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-09-03 21:51:01.943 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-09-03 21:51:01.944 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-03 21:51:01.944 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2022-09-03 21:51:02.065 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-03 21:51:02.065 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1160 ms
2022-09-03 21:51:02.133 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2022-09-03 21:51:02.149 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
